sample_id,task,comparable_needle_count,near_hit_rate,exact_hit_rate,min_distance,max_log10_ratio,max_ratio,last_q_abs_pos,last_q_log10_ratio,last_q_mean_ratio
rank7|global_req1055|task=niah_single_1|doc=55,niah_single_1,1,0.40625,0.29910714285714285,0,3.7614686489105225,5773.891903203338,32477,-0.8020512461662292,0.08717314153909683
rank7|global_req1063|task=niah_single_1|doc=63,niah_single_1,1,0.6651785714285714,0.5401785714285714,0,4.429699897766113,26896.755664093038,32480,-0.7045937180519104,0.096945621073246
rank7|global_req1071|task=niah_single_1|doc=71,niah_single_1,1,0.29910714285714285,0.20982142857142858,0,4.083260536193848,12113.24597433277,32483,-0.8059629797935486,0.10456036031246185
rank7|global_req1079|task=niah_single_1|doc=79,niah_single_1,1,0.8035714285714286,0.6205357142857143,0,4.3289971351623535,21330.3084249298,32477,-0.7860961556434631,0.08943535387516022
rank7|global_req1087|task=niah_single_1|doc=87,niah_single_1,1,0.41964285714285715,0.2767857142857143,0,3.914391279220581,8210.909761362935,32489,-0.6341357827186584,0.0998879000544548
rank7|global_req1095|task=niah_single_1|doc=95,niah_single_1,1,0.8392857142857143,0.6875,0,3.0654115676879883,1162.549805110839,32483,-0.8190886974334717,0.10160879045724869
rank7|global_req1103|task=niah_single_1|doc=103,niah_single_1,1,0.5714285714285714,0.49107142857142855,0,4.0594401359558105,11466.744505647725,32477,-0.7695263028144836,0.09299264848232269
rank7|global_req1111|task=niah_single_1|doc=111,niah_single_1,1,0.625,0.5580357142857143,0,3.227020740509033,1686.633571665506,32483,-0.7323769330978394,0.10640435665845871
rank7|global_req1119|task=niah_single_1|doc=119,niah_single_1,1,0.625,0.5669642857142857,0,2.9913089275360107,980.1869757858486,32483,-0.7669076323509216,0.10035941004753113
rank7|global_req111|task=niah_single_3|doc=111,niah_single_3,1,0.6383928571428571,0.38392857142857145,0,4.303919792175293,20133.52378852211,32532,-0.5412501096725464,0.12905141711235046
rank7|global_req1127|task=niah_single_1|doc=127,niah_single_1,1,0.6160714285714286,0.5,0,6.195456504821777,1568398.812557444,32477,-0.847832202911377,0.08792346715927124
rank7|global_req1135|task=niah_single_1|doc=135,niah_single_1,1,0.5357142857142857,0.4375,0,3.9962573051452637,9914.191540484164,32477,-0.8130733370780945,0.09701699018478394
rank7|global_req1143|task=niah_single_1|doc=143,niah_single_1,1,0.9419642857142857,0.8303571428571429,0,3.7854692935943604,6101.959117594039,32477,-0.46960264444351196,0.09927268326282501
rank7|global_req1151|task=niah_single_1|doc=151,niah_single_1,1,0.23214285714285715,0.20089285714285715,0,3.1008877754211426,1261.5015120992418,32483,-0.8701839447021484,0.09533003717660904
rank7|global_req1159|task=niah_single_1|doc=159,niah_single_1,1,0.23214285714285715,0.14285714285714285,0,3.208404541015625,1615.8630164453741,32480,-0.7843427658081055,0.09716320037841797
rank7|global_req1167|task=niah_single_1|doc=167,niah_single_1,1,0.45089285714285715,0.26785714285714285,0,3.7104170322418213,5133.54096802021,32477,-0.7625396847724915,0.09232403337955475
rank7|global_req1175|task=niah_single_1|doc=175,niah_single_1,1,0.5223214285714286,0.42410714285714285,0,3.232330322265625,1707.3805205642436,32480,-0.8733758330345154,0.09840340912342072
rank7|global_req1183|task=niah_single_1|doc=183,niah_single_1,1,0.7098214285714286,0.6517857142857143,0,3.022508382797241,1053.194015793911,32480,-0.7248624563217163,0.09451986104249954
rank7|global_req1191|task=niah_single_1|doc=191,niah_single_1,1,0.5892857142857143,0.5178571428571429,0,3.0712249279022217,1178.2160320317396,32480,-0.804627537727356,0.10454961657524109
rank7|global_req1199|task=niah_single_1|doc=199,niah_single_1,1,0.5758928571428571,0.47767857142857145,0,2.937696695327759,866.3566141246914,32480,-0.812329113483429,0.09908551722764969
rank7|global_req119|task=niah_single_3|doc=119,niah_single_3,1,0.8125,0.5848214285714286,0,5.528441905975342,337630.6819684765,32531,-0.6390113830566406,0.13622723519802094
rank7|global_req1207|task=niah_single_1|doc=207,niah_single_1,1,0.9776785714285714,0.9285714285714286,0,5.901729106903076,797497.0897706619,32477,-0.801357090473175,0.09092024713754654
rank7|global_req1215|task=niah_single_1|doc=215,niah_single_1,1,0.7857142857142857,0.6517857142857143,0,3.225630044937134,1681.241280447815,32483,-0.7634405493736267,0.10196278989315033
rank7|global_req1223|task=niah_single_1|doc=223,niah_single_1,1,0.7321428571428571,0.6116071428571429,0,4.281111717224121,19103.446093855913,32480,-0.746803343296051,0.10397183150053024
rank7|global_req1231|task=niah_single_1|doc=231,niah_single_1,1,0.71875,0.6607142857142857,0,3.6545681953430176,4514.069022068147,32483,-0.7805986404418945,0.09962005168199539
rank7|global_req1239|task=niah_single_1|doc=239,niah_single_1,1,0.8794642857142857,0.7410714285714286,0,2.8701882362365723,741.6316170053356,32486,-0.5532694458961487,0.11225612461566925
rank7|global_req1247|task=niah_single_1|doc=247,niah_single_1,1,0.8705357142857143,0.7678571428571429,0,4.330215930938721,21390.253471897682,32486,-0.7016791105270386,0.0966184213757515
rank7|global_req1255|task=niah_single_1|doc=255,niah_single_1,1,0.5491071428571429,0.47767857142857145,0,3.9740960597991943,9420.979522266562,32477,-0.5829297304153442,0.11662611365318298
